,Timestamp,Date,Time,Source.IP,Source.Port,Destination.IP,Destination.Port,ACK.Flag.Count,Down.Up.Ratio,Total.Fwd.Packets,L7Protocol,ProtocolName
21,26/04/201711:11:17,2017-04-26,11:11:17,10.200.7.9,3128,192.168.180.37,1978,0,0,64,7,HTTP
22,26/04/201711:11:17,2017-04-26,11:11:17,10.200.7.9,3128,192.168.180.37,1978,0,0,2,7,HTTP
23,26/04/201711:11:17,2017-04-26,11:11:17,10.200.7.9,3128,192.168.180.37,1978,1,0,2,7,HTTP
25,26/04/201711:11:17,2017-04-26,11:11:17,10.200.7.9,3128,192.168.32.49,54500,1,0,2,7,HTTP
44,26/04/201711:11:18,2017-04-26,11:11:18,10.200.7.9,3128,192.168.180.37,1980,1,0,5,7,HTTP
46,26/04/201711:11:18,2017-04-26,11:11:18,10.200.7.9,3128,192.168.180.37,1980,0,0,2,7,HTTP
73,26/04/201711:11:18,2017-04-26,11:11:18,10.200.7.9,3128,192.168.180.37,1982,1,0,5,7,HTTP
75,26/04/201711:11:18,2017-04-26,11:11:18,10.200.7.9,3128,192.168.180.37,1982,0,0,2,7,HTTP
76,26/04/201711:11:18,2017-04-26,11:11:18,10.200.7.9,3128,192.168.180.37,1982,1,0,2,7,HTTP
114,26/04/201711:11:18,2017-04-26,11:11:18,10.200.7.9,3128,192.168.180.37,1984,0,0,2,7,HTTP
115,26/04/201711:11:18,2017-04-26,11:11:18,10.200.7.9,3128,192.168.180.37,1984,1,0,2,7,HTTP
123,26/04/201711:11:18,2017-04-26,11:11:18,10.200.7.9,3128,192.168.32.49,54498,0,0,2,7,HTTP
124,26/04/201711:11:18,2017-04-26,11:11:18,10.200.7.9,3128,192.168.32.49,54498,1,0,2,7,HTTP
157,26/04/201711:11:19,2017-04-26,11:11:19,10.200.7.9,3128,192.168.180.37,1986,0,0,3,7,HTTP
159,26/04/201711:11:19,2017-04-26,11:11:19,10.200.7.9,3128,192.168.180.37,1986,0,0,2,7,HTTP
240,26/04/201711:11:19,2017-04-26,11:11:19,10.200.7.9,3128,192.168.180.37,1988,1,0,3,7,HTTP
